Node 1,Node 2,Link type,Species,quantity,price
Fish market,Wholesaler,Buy,snapper,40,
Fish market,Wholesaler,Buy,lobster,,
Restaurant 1,Fisher,Buy,lobster,,
Restaurant 1,Fisher,Buy,conch,,
Restaurant 1,Fisher,Buy,fish,,
Restaurant 2,Fisher,Buy,conch,20,16
Restaurant 2,Fisher,Buy,barracuda,40,12
Restaurant 2,Fisher,Buy,lobster,60,18
Restaurant 2,Fisher,Buy,snapper,50,12
wwf,Fisher,Training,all,,
wwf,Fisher,Education,all,,
wwf,Fisher,Reseach,all,,
Fragments of Hope,Fisher,Training,all,,
Fragments of Hope,Fisher,Education,all,,
Fragments of Hope,Fisher,Governance,all,,
Fragments of Hope,Wholesaler,Training,all,,
Fragments of Hope,Wholesaler,Education,all,,
Caye Caulker BTIA,Fisher,Training,all,,
Caye Caulker BTIA,Fisher,Education,all,,
Caye Caulker BTIA,Fisher,Governance,all,,
Caye Caulker BTIA,Wholesaler,Training,all,,
Caye Caulker BTIA,Wholesaler,Education,all,,
Caye Caulker BTIA,Wholesaler,Governance,all,,
Belioness,Fisher,Training,all,,
Belioness,Fisher,Education,all,,
Belioness,Fisher,Other,all,,
Belioness,Wholesaler,Licensing,all,,
Customer 1,Fisher,Buy,lobster,10,
Customer 1,Fisher,Buy,conch,8,
Customer 1,Fisher,Buy,snapper,5,
Customer 2,Local markets,Buy,lobster,,
Customer 2,Supermarkets,Buy,lobster,,
Customer 2,Fisher,Buy,lobster,,
Customer 2,Restaurants,Buy,lobster,,
Customer 2,Local markets,Buy,conch,,
Customer 2,Supermarkets,Buy,conch,,
Customer 2,Fisher,Buy,conch,,
Customer 2,Restaurants,Buy,conch,,
Customer 2,Local markets,Buy,barracuda,,
Customer 2,Supermarkets,Buy,barracuda,,
Customer 2,Fisher,Buy,barracuda,,
Customer 2,Restaurants,Buy,barracuda,,
Customer 2,Local markets,Buy,snapper,,
Customer 2,Supermarkets,Buy,snapper,,
Customer 2,Fisher,Buy,snapper,,
Customer 2,Restaurants,Buy,snapper,,
Customer 2,Local markets,Buy,jacks,,
Customer 2,Supermarkets,Buy,jacks,,
Customer 2,Fisher,Buy,jacks,,
Customer 2,Restaurants,Buy,jacks,,
Customer 3,Fisher,Buy,conch,,
Customer 3,Fisher,Buy,snapper,,
Customer 3,Fisher,Buy,grouper,,
Customer 4,Fisher,Buy,lobster,,
Customer 4,Fisher,Buy,conch,,
Customer 4,Fisher,Buy,snook,,
Customer 4,Fisher,Buy,barracuda,,
Customer 4,Fisher,Buy,jacks,,
Customer 5,Local markets,Buy,lobster,,
Customer 5,Fisher,Buy,lobster,,
Customer 5,Restaurants,Buy,lobster,,
Customer 5,Local markets,Buy,conch,,
Customer 5,Fisher,Buy,conch,,
Customer 5,Restaurants,Buy,conch,,
Customer 5,Local markets,Buy,snapper,,
Customer 5,Fisher,Buy,snapper,,
Customer 5,Restaurants,Buy,snapper,,
Customer 6,Local markets,Buy,conch,,
Customer 6,Restaurants,Buy,conch,,
Customer 6,Local markets,Buy,snapper,,
Customer 6,Restaurants,Buy,snapper,,
Fisher 1,Tourist,share,lobster,,
Fisher 1,Tourist,share,conch,,
Fisher 1,Tourist,share,fish,,
Fisher 2,Cooperative Belize City,Sell,conch,,
Fisher 2,Restaurants,Sell,conch,,
Fisher 3,Restaurants,Sell,lobster,,25-30
Fisher 3,Restaurants,Sell,conch,,10
Fisher 3,Restaurants,Sell,barracuda,,8
Fisher 3,Restaurants,Sell,snapper,,12
Fisher 4,Cooperative Northern,Sell,lobster,,15
Fisher 4,Cooperative Northern,Sell,conch,,8
Fisher 4,Restaurants,Sell,barracuda,,12
Fisher 4,Restaurants,Sell,snapper,,15
Fisher 5,Restaurants,Sell,lobster,,25-30
Fisher 5,Restaurants,Sell,conch,,15
Fisher 5,Restaurants,Sell,barracuda,,10
Fisher 5,Restaurants,Sell,snapper,,20
Fisher 5,Restaurants,Sell,grouper,,20
Fisher 5,Restaurants,Sell,jacks,,10
Fisher 6,Cooperative,Sell,lobster,,25
Fisher 6,Restaurants,Sell,lobster,,25
Fisher 6,Cooperative,Sell,conch,,12
Fisher 6,Restaurants,Sell,conch,,12
Fisher 6,Restaurants,Sell,barracuda,,12
Fisher 6,Restaurants,Sell,snapper,,15
Fisher 6,Restaurants,Sell,grouper,,15
Fisher 6,Restaurants,Sell,jacks,,10
Fisher 8,Fisher 8,self consumption,barracuda,,
Fisher 8,Fisher 8,self consumption,snapper,,
Fisher 9,Fisher 9,self consumption,lobster,,
Fisher 9,Fisher 9,self consumption,conch,,
Fisher 9,Fisher 9,self consumption,snook,,
Fisher 9,Fisher 9,self consumption,barracuda,,
Fisher 9,Fisher 9,self consumption,snapper,,
Fisher 11,Restaurants,Sell,barracuda,,10
Fisher 11,Restaurants,Sell,snapper,,12
Fisher 13,Restaurants,Sell,lobster,,30
Fisher 13,Restaurants,Sell,conch,,10
Fisher 14,Cooperative,Sell,lobster,,26
Fisher 15,Cooperative,Sell,lobster,,25
Fisher 15,Restaurants,Sell,lobster,,25
Fisher 15,Cooperative,Sell,conch,,8
Fisher 15,Restaurants,Sell,conch,,8
Fisher 15,Restaurants,Sell,snook,,8
Fisher 15,Restaurants,Sell,barracuda,,8
Fisher 15,Restaurants,Sell,snapper,,8
Fisher 15,Restaurants,Sell,grouper,,10
Fisher 15,Restaurants,Sell,jacks,,8
